,IOC,Breeding Range,Order,Family,Swedish
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,fläckbukig vaktel
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,kronvaktel
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,marmortandvaktel
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,grå tandvaktel
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,svartstrupig tandvaktel
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,rödpannad tandvaktel
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,svartpannad tandvaktel
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,svartfläckig tandvaktel
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,mörkryggig tandvaktel
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,rödbröstad tandvaktel
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,tacarcunatandvaktel
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,colombiatandvaktel
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,venezuelatandvaktel
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,vitstrupig tandvaktel
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,diamanttandvaktel
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,stjärntandvaktel
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,fläckig tandvaktel
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,sångvaktel
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,montezumavaktel
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,glasögonvaktel
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,orangekindad vaktel
329,Xenoperdix udzungwensis,AF,GALLIFORMES,Phasianidae,udzungwahöna
330,Xenoperdix obscuratus,AF,GALLIFORMES,Phasianidae,rubehohöna
331,Caloperdix oculeus,OR,GALLIFORMES,Phasianidae,rosthöna
332,Rollulus rouloul,OR,GALLIFORMES,Phasianidae,tofshöna
333,Melanoperdix niger,OR,GALLIFORMES,Phasianidae,svarthöna
334,Arborophila torqueola,OR,GALLIFORMES,Phasianidae,brunkronad sånghöna
335,Arborophila rufipectus,OR,GALLIFORMES,Phasianidae,sichuansånghöna
336,Arborophila mandellii,OR,GALLIFORMES,Phasianidae,sikkimsånghöna
337,Arborophila gingica,OR,GALLIFORMES,Phasianidae,vitpannad sånghöna
338,Arborophila rufogularis,OR,GALLIFORMES,Phasianidae,roststrupig sånghöna
339,Arborophila rubrirostris,OR,GALLIFORMES,Phasianidae,rödnäbbad sånghöna
340,Arborophila diversa,OR,GALLIFORMES,Phasianidae,thaisånghöna
341,Arborophila cambodiana,OR,GALLIFORMES,Phasianidae,kambodjasånghöna
342,Arborophila ardens,OR,GALLIFORMES,Phasianidae,hainansånghöna
343,Arborophila crudigularis,OR,GALLIFORMES,Phasianidae,taiwansånghöna
344,Arborophila atrogularis,OR,GALLIFORMES,Phasianidae,vitkindad sånghöna
