,IOC,Breeding Range,Order,Family,Chinese (Traditional)
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,紫冠雉
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,考加冠雉
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,白翅冠雉
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,棕胸冠雉
257,Penelope obscura,SA,GALLIFORMES,Cracidae,烏腿冠雉
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Yungas Guan
259,Penelope pileata,SA,GALLIFORMES,Cracidae,白頭冠雉
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,栗腹冠雉
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,白眉冠雉
262,Pipile pipile,SA,GALLIFORMES,Cracidae,普通鳴冠雉
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,藍喉鳴冠雉
264,Pipile grayi,SA,GALLIFORMES,Cracidae,White-throated Piping Guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,紅喉鳴冠雉
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,黑額鳴冠雉
267,Aburria aburri,SA,GALLIFORMES,Cracidae,肉垂鳴冠雉
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,黑鐮翅冠雉
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,鐮翅冠雉
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,高原冠雉
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,角冠雉
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,夜冠雉
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,小刀嘴鳳冠雉
274,Mitu salvini,SA,GALLIFORMES,Cracidae,沙文氏刀嘴鳳冠雉
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,大刀嘴鳳冠雉
276,Mitu mitu,SA,GALLIFORMES,Cracidae,刀嘴鳳冠雉
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,盔鳳冠雉
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,單盔鳳冠雉
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,席拉鳳冠雉
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,大鳳冠雉
281,Crax alberti,SA,GALLIFORMES,Cracidae,藍瘤鳳冠雉
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,黃瘤鳳冠雉
283,Crax alector,SA,GALLIFORMES,Cracidae,黑鳳冠雉
284,Crax globulosa,SA,GALLIFORMES,Cracidae,肉垂鳳冠雉
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,裸臉鳳冠雉
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,紅嘴鳳冠雉
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,白胸珠雞
288,Agelastes niger,AF,GALLIFORMES,Numididae,黑珠雞
289,Numida meleagris,AF,GALLIFORMES,Numididae,普通珠雞
290,Guttera plumifera,AF,GALLIFORMES,Numididae,西非冠珠雞
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Western Crested Guineafowl
292,Guttera pucherani,AF,GALLIFORMES,Numididae,肯亞冠珠雞
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Southern Crested Guineafowl
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,鷲珠雞
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,石鶉
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,納罕氏鷓鴣
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,黃頂樹鶉
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,長尾樹鶉
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,髭樹鶉
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,山鶉〔刀翎鶉〕
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,鱗斑翎鶉
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,優雅翎鶉
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,珠頸翎鶉
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,黑腹翎鶉
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,斑鶉
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,山齒鶉
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,黑喉齒鶉
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,斑腹齒鶉
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,冠齒鶉
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,雲斑林鶉
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,點翅林鶉
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,黑耳林鶉
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,棕額林鶉
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,黑額林鶉
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,栗林鶉
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,黑背林鶉
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,棕胸林鶉
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,黑頂林鶉
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,領林鶉
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,委內端拉林鶉
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,白喉林鶉〔黑胸林鶉〕
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,紋頰林鶉
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,星林鶉
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,點林鶉
