,IOC,Breeding Range,Order,Family,Turkish
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,Campbell Patekesi
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,Yaz Ördeği
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,Macar Ördeği
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,Gül Gagalı Ördek
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,Al Gözlü Ördek
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,Elmabaş Patka
176,Aythya australis,AU,ANSERIFORMES,Anatidae,Avustralya Patkası
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,Madagaskar Patkası
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,Çin Patkası
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,Pasbaş Patka
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,Yeni Zelanda Patkası
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,Tepeli Patka
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,Karabaş Patka
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,Kara Gözlü Pufla
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,Gözlüklü Pufla
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,Süslü Pufla
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,Pufla
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,Palyaço Ördeği
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,Kadife Ördek
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,Stejneger Ördeği
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,Kara Ördek
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,Amerika Kara Ördeği
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,Telkuyruk
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,Altıngöz
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,İzlanda Altıngözü
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,Sütlabi
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,Yeşil Tarakdiş
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,Büyük Tarakdiş
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,Tarakdiş
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,Yazılı Tarakdiş
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,Guguk Ördeği
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,Maskeli Dikkuyruk
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,Amerika Dikkuyruğu
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,And Dikkuyruğu
