,IOC,Breeding Range,Order,Family,Indonesian
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,Ferruginous Duck
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,New Zealand Scaup
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,Kambangan hitam
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,Greater Scaup
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,Steller's Eider
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,Spectacled Eider
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,King Eider
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,Common Eider
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,Harlequin Duck
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,Velvet Scoter
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,Stejneger's Scoter
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,Common Scoter
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,Black Scoter
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,Long-tailed Duck
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,Common Goldeneye
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,Barrow's Goldeneye
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,Smew
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,Brazilian Merganser
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,Common Merganser
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,Red-breasted Merganser
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,Scaly-sided Merganser
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,Black-headed Duck
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,Masked Duck
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,Ruddy Duck
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,Andean Duck
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,Lake Duck
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,Blue-billed Duck
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,Maccoa Duck
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,White-headed Duck
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,Musk Duck
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,Australian Brushturkey
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,Maleo gunung
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,Maleo waigeo
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,Maleo kamur
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,Maleo paruh-hitam
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,Maleo kerah-coklat
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,Malleefowl
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,Maleo senkawor
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,Gosong maluku
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,Tongan Megapode
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,Micronesian Megapode
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,Nicobar Megapode
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,Gosong pilipina
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,Gosong sula
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,Gosong tanimbar
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,Gosong kelam
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,Gosong kelam biak
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,Melanesian Megapode
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,Vanuatu Megapode
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,Gosong papua
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,Gosong kaki-merah
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,Plain Chachalaca
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,Grey-headed Chachalaca
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,Chestnut-winged Chachalaca
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,Rufous-vented Chachalaca
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,Rufous-headed Chachalaca
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,Rufous-bellied Chachalaca
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,West Mexican Chachalaca
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,Chaco Chachalaca
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,White-bellied Chachalaca
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,Speckled Chachalaca
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,East Brazilian Chachalaca
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,Scaled Chachalaca
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,Colombian Chachalaca
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,Little Chachalaca
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Chestnut-headed Chachalaca
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,Buff-browed Chachalaca
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,Band-tailed Guan
247,Penelope barbata,SA,GALLIFORMES,Cracidae,Bearded Guan
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,Baudo Guan
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,Andean Guan
250,Penelope marail,SA,GALLIFORMES,Cracidae,Marail Guan
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,Rusty-margined Guan
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,Red-faced Guan
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,Crested Guan
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,Cauca Guan
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,White-winged Guan
