,IOC,Breeding Range,Order,Family,German
5263,Lessonia oreas,SA,PASSERIFORMES,Tyrannidae,Andensporntyrann
5264,Lessonia rufa,SA,PASSERIFORMES,Tyrannidae,Patagoniensporntyrann
5265,Hymenops perspicillatus,SA,PASSERIFORMES,Tyrannidae,Brillendunkeltyrann
5266,Knipolegus cyanirostris,SA,PASSERIFORMES,Tyrannidae,Einfarb-Dunkeltyrann
5267,Knipolegus signatus,SA,PASSERIFORMES,Tyrannidae,Nordanden-Dunkeltyrann
5268,Knipolegus cabanisi,SA,PASSERIFORMES,Tyrannidae,Mittelanden-Dunkeltyrann
5269,Knipolegus striaticeps,SA,PASSERIFORMES,Tyrannidae,Schwarzmasken-Dunkeltyrann
5270,Knipolegus aterrimus,SA,PASSERIFORMES,Tyrannidae,Weißspiegel-Dunkeltyrann
5271,Knipolegus hudsoni,SA,PASSERIFORMES,Tyrannidae,Weißflanken-Dunkeltyrann
5272,Knipolegus poecilurus,SA,PASSERIFORMES,Tyrannidae,Fahlbauch-Dunkeltyrann
5273,Knipolegus orenocensis,SA,PASSERIFORMES,Tyrannidae,Flussufer-Dunkeltyrann
5274,Knipolegus poecilocercus,SA,PASSERIFORMES,Tyrannidae,Várzeadunkeltyrann
5275,Knipolegus lophotes,SA,PASSERIFORMES,Tyrannidae,Haubendunkeltyrann
5276,Knipolegus nigerrimus,SA,PASSERIFORMES,Tyrannidae,Kurzschopf-Dunkeltyrann
5277,Knipolegus franciscanus,SA,PASSERIFORMES,Tyrannidae,São-Francisco-Dunkeltyrann
5278,Cnemarchus erythropygius,SA,PASSERIFORMES,Tyrannidae,Rostbürzel-Buschtyrann
5279,Cnemarchus rufipennis,SA,PASSERIFORMES,Tyrannidae,Rostspiegel-Buschtyrann
5280,Xolmis velatus,SA,PASSERIFORMES,Tyrannidae,Weißbinden-Scheckenentyrann
5281,Xolmis irupero,SA,PASSERIFORMES,Tyrannidae,Weißscheckenentyrann
5282,Pyrope pyrope,SA,PASSERIFORMES,Tyrannidae,Feueraugen-Scheckentyrann
5283,Nengetus cinereus,SA,PASSERIFORMES,Tyrannidae,Bartstreif-Scheckenentyrann
5284,Neoxolmis coronatus,SA,PASSERIFORMES,Tyrannidae,Schwarzkappen-Scheckenentyrann
5285,Neoxolmis rubetra,SA,PASSERIFORMES,Tyrannidae,Rotrücken-Scheckenentyrann
