,IOC,Breeding Range,Order,Family,Spanish
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,Chachalaca colombiana
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,Chachalaca motmot
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Chachalaca con Cabeza Castaña
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,Chachalaca cejuda
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,Pava camata
247,Penelope barbata,SA,GALLIFORMES,Cracidae,Pava barbuda
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,Pava de Orton
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,Pava andina
250,Penelope marail,SA,GALLIFORMES,Cracidae,Pava marail
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,Pava yacupemba
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,Pava carirroja
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,Pava cojolita
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,Pava del Cauca
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,Pava aliblanca
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,Pava amazónica
257,Penelope obscura,SA,GALLIFORMES,Cracidae,Pava oscura
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Pava de las yungas
259,Penelope pileata,SA,GALLIFORMES,Cracidae,Pava crestiblanca
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,Pava ventrirrufa
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,Pava yacucaca
262,Pipile pipile,SA,GALLIFORMES,Cracidae,Pava de Trinidad
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,Pava goliazul
264,Pipile grayi,SA,GALLIFORMES,Cracidae,Pava goliblanca
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,Pava cuyubí
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,Pava yacutinga
267,Aburria aburri,SA,GALLIFORMES,Cracidae,Pava aburria
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,Pava negra
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,Pava falcialar
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,Pava pajuil
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,Pavón cornudo
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,Paují nocturno
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,Paují culicastaño
274,Mitu salvini,SA,GALLIFORMES,Cracidae,Paují culiblanco
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,Paují tuberoso
276,Mitu mitu,SA,GALLIFORMES,Cracidae,Paují de Alagoas
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,Paují de Yelmo
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,Paují unicornio boliviano
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,Paují unicornio peruano
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,Pavón norteño
281,Crax alberti,SA,GALLIFORMES,Cracidae,Pavón piquiazul
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,Pavón porú
283,Crax alector,SA,GALLIFORMES,Cracidae,Pavón guayanés
284,Crax globulosa,SA,GALLIFORMES,Cracidae,Pavón carunculado
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,Pavón muitú
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,Pavón piquirrojo
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,Pintada pechiblanca
288,Agelastes niger,AF,GALLIFORMES,Numididae,Pintada negra
289,Numida meleagris,AF,GALLIFORMES,Numididae,Pintada común
290,Guttera plumifera,AF,GALLIFORMES,Numididae,Pintada plumífera
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Pintada moñuda occidental
292,Guttera pucherani,AF,GALLIFORMES,Numididae,Pintada moñuda oriental
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Pintada moñuda meridional
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,Pintada vulturina
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,Gallinita roquera
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,Gallinita de Nahan
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,Colín cariclaro
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,Colín rabudo
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,Colín barbudo
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,Colín serrano
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,Colín escamado
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,Colín elegante
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,Colín de California
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,Colín de Gambel
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,Colín bandeado
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,Colín de Virginia
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,Colín gorjinegro
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,Colín gorjiblanco
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,Colín crestudo
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,Corcovado común
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,Corcovado urú
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,Corcovado orejinegro
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,Corcovado frentirrojo
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,Corcovado carinegro
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,Corcovado castaño
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,Corcovado dorsioscuro
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,Corcovado pechirrufo
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,Corcovado del Tacarcuna
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,Corcovado gorjiblanco
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,Corcovado venezolano
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,Corcovado pechinegro
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,Corcovado enmascarado
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,Corcovado estrellado
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,Corcovado goteado
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,Colín cantor
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,Colín de Moctezuma
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,Colín ocelado
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,Colín carirrufo
329,Xenoperdix udzungwensis,AF,GALLIFORMES,Phasianidae,Perdiz de las Udzungwa
330,Xenoperdix obscuratus,AF,GALLIFORMES,Phasianidae,Perdiz de Rubeho
331,Caloperdix oculeus,OR,GALLIFORMES,Phasianidae,Perdicilla herrumbrosa
332,Rollulus rouloul,OR,GALLIFORMES,Phasianidae,Perdiz rulrul
