,IOC,Breeding Range,Order,Family,Chinese
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,山翎鹑
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,鳞斑鹑
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,华丽翎鹑
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,珠颈斑鹑
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,黑腹翎鹑
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,斑鹑
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,山齿鹑
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,黑喉齿鹑
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,斑胸齿鹑
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,冠齿鹑
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,云斑林鹑
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,斑翅林鹑
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,黑耳林鹑
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,棕额林鹑
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,黑额林鹑
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,栗林鹑
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,暗背林鹑
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,棕胸林鹑
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,黑顶林鹑
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,领林鹑
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,委内瑞拉林鹑
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,白喉林鹑
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,纹颊林鹑
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,黄眼斑林鹑
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,点斑林鹑
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,歌鹑
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,彩鹑
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,眼斑彩鹑
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,茶脸鹑
329,Xenoperdix udzungwensis,AF,GALLIFORMES,Phasianidae,坦桑尼亚鹑
330,Xenoperdix obscuratus,AF,GALLIFORMES,Phasianidae,鲁山鹑
331,Caloperdix oculeus,OR,GALLIFORMES,Phasianidae,锈红林鹧鸪
332,Rollulus rouloul,OR,GALLIFORMES,Phasianidae,冕鹧鸪
333,Melanoperdix niger,OR,GALLIFORMES,Phasianidae,黑鹑
334,Arborophila torqueola,OR,GALLIFORMES,Phasianidae,环颈山鹧鸪
335,Arborophila rufipectus,OR,GALLIFORMES,Phasianidae,四川山鹧鸪
336,Arborophila mandellii,OR,GALLIFORMES,Phasianidae,红胸山鹧鸪
337,Arborophila gingica,OR,GALLIFORMES,Phasianidae,白眉山鹧鸪
338,Arborophila rufogularis,OR,GALLIFORMES,Phasianidae,红喉山鹧鸪
339,Arborophila rubrirostris,OR,GALLIFORMES,Phasianidae,红嘴山鹧鸪
