,IOC,Breeding Range,Order,Family,Norwegian
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,klaveovnhøne
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,hvitstrupeovnhøne
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,treflikovnhøne
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,rødnebbovnhøne
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,svartovnhøne
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,rødbeinovnhøne
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,malleeovnhøne
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,hammerovnhøne
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,molukkovnhøne
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,tongaovnhøne
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,dvergovnhøne
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,nikobarovnhøne
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,mjaueovnhøne
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,sulaovnhøne
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,tanimbarovnhøne
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,sotovnhøne
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,biakovnhøne
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,melanesiaovnhøne
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,vanuatuovnhøne
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,papuaovnhøne
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,oransjebeinovnhøne
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,kratthokko
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,gråhodehokko
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,kastanjevingehokko
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,llanoshokko
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,rusthodehokko
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,sinaloahokko
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,guerrerohokko
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,chacohokko
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,hvitbukhokko
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,buskhokko
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,bahiahokko
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,skjellhokko
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,colombiahokko
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,guyanahokko
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Chestnut-headed Chachalaca
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,blekbrynhokko
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,sølvørehokko
247,Penelope barbata,SA,GALLIFORMES,Cracidae,skjegghokko
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,mørkhodehokko
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,andeshokko
250,Penelope marail,SA,GALLIFORMES,Cracidae,marailhokko
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,brasilhokko
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,rødbrillehokko
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,parykkhokko
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,caucahokko
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,hvitvingehokko
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,jungelhokko
257,Penelope obscura,SA,GALLIFORMES,Cracidae,sothokko
