,IOC,Breeding Range,Order,Family,Czech
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,křepel proměnlivý
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,křepel chocholatý
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,křepel mramorovaný
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,křepel šedobřichý
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,křepel středoamerický
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,křepel rezavočelý
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,křepel černočelý
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,křepel kaštanový
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,křepel tmavohřbetý
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,křepel rezavoprsý
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,křepel dariénský
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,křepel límcový
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,křepel venezuelský
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,křepel bělohrdlý
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,křepel pruholící
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,křepel hvězdičkový
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,křepel skvrnitý
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,křepel zpěvavý
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,křepel harlekýn
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,křepel perličkový
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,křepel rezavolící
329,Xenoperdix udzungwensis,AF,GALLIFORMES,Phasianidae,koroptev tanzanská
330,Xenoperdix obscuratus,AF,GALLIFORMES,Phasianidae,koroptev rubežská
331,Caloperdix oculeus,OR,GALLIFORMES,Phasianidae,koroptev rezavá
332,Rollulus rouloul,OR,GALLIFORMES,Phasianidae,koroptev korunkatá
333,Melanoperdix niger,OR,GALLIFORMES,Phasianidae,koroptev černá
334,Arborophila torqueola,OR,GALLIFORMES,Phasianidae,koroptev himálajská
335,Arborophila rufipectus,OR,GALLIFORMES,Phasianidae,koroptev hnědoprsá
336,Arborophila mandellii,OR,GALLIFORMES,Phasianidae,koroptev kaštanovoprsá
337,Arborophila gingica,OR,GALLIFORMES,Phasianidae,koroptev límcová
338,Arborophila rufogularis,OR,GALLIFORMES,Phasianidae,koroptev oranžovohrdlá
339,Arborophila rubrirostris,OR,GALLIFORMES,Phasianidae,koroptev červenozobá
