,IOC,Breeding Range,Order,Family,Danish
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,Yucatántrævagtel
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,Hvidstrubet Trævagtel
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,Toptrævagtel
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,Brun Tandvagtel
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,Pletvinget Tandvagtel
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,Sortøret Tandvagtel
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,Brunmasket Tandvagtel
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,Sortpandet Tandvagtel
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,Kastanjetandvagtel
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,Mørkrygget Tandvagtel
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,Rødbrystet Tandvagtel
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,Tacarcuna-tandvagtel
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,Halsbåndstandvagtel
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,Venezuelatandvagtel
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,Sortbrystet Tandvagtel
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,Boliviatandvagtel
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,Perutandvagtel
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,Mexicansk Tandvagtel
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,Sangvagtel
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,Montezumavagtel
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,Brillevagtel
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,Langbenet Tandvagtel
