,IOC,Breeding Range,Order,Family,Portuguese
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,galinha-da-floresta
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,colim-de-sobrancelha-branca
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,colim-rabilongo
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,colim-barbudo
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,colim-serrano
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,colim-escamoso
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,colim-elegante
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,codorniz-da-califórnia
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,colim-de-poupa
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,colim-listrado
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,codorniz-da-virgínia
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,uru-de-papo-preto
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,uru-de-papo-branco
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,uru-do-campo
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,uru-corcovado
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,uru-capoeira
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,corcovado-de-faces-pretas
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,corcovado-de-fronte-ruiva
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,corcovado-de-fronte-preta
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,corcovado-castanho
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,corcovado-de-dorso-escuro
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,corcovado-de-peito-ruivo
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,corcovado-do-tacarcuna
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,corcovado-de-papo-branco
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,corcovado-venezuelano
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,corcovado-de-peito-preto
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,corcovado-mascarado
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,uru-de-topete
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,corcovado-pintado
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,colim-cantor
