,IOC,Breeding Range,Order,Family,Ukrainian
10317,Sporophila angolensis,SA,PASSERIFORMES,Thraupidae,зерноїд чорноголовий
10318,Sporophila nuttingi,MA,PASSERIFORMES,Thraupidae,рисоїд нікарагуанський
10319,Sporophila maximiliani,SA,PASSERIFORMES,Thraupidae,рисоїд білодзьобий
10320,Sporophila crassirostris,SA,PASSERIFORMES,Thraupidae,рисоїд болотяний
10321,Sporophila atrirostris,SA,PASSERIFORMES,Thraupidae,зерноїд чорнодзьобий
10322,Sporophila schistacea,"MA, SA",PASSERIFORMES,Thraupidae,зерноїд попелястий
10323,Sporophila falcirostris,SA,PASSERIFORMES,Thraupidae,зерноїд бразильський
10324,Sporophila frontalis,SA,PASSERIFORMES,Thraupidae,зерноїд великий
10325,Sporophila plumbea,SA,PASSERIFORMES,Thraupidae,зерноїд сивий
10326,Sporophila beltoni,SA,PASSERIFORMES,Thraupidae,зерноїд тропейровий
10327,Sporophila collaris,SA,PASSERIFORMES,Thraupidae,зерноїд масковий
10328,Sporophila albogularis,SA,PASSERIFORMES,Thraupidae,зерноїд білогорлий
10329,Sporophila leucoptera,SA,PASSERIFORMES,Thraupidae,зерноїд білочеревий
10330,Sporophila peruviana,SA,PASSERIFORMES,Thraupidae,зерноїд папугодзьобий
10331,Sporophila telasco,SA,PASSERIFORMES,Thraupidae,зерноїд рудогорлий
10332,Sporophila simplex,SA,PASSERIFORMES,Thraupidae,зерноїд перуанський
10333,Sporophila castaneiventris,SA,PASSERIFORMES,Thraupidae,зерноїд рудочеревий
10334,Sporophila minuta,"MA, SA",PASSERIFORMES,Thraupidae,зерноїд малий
10335,Sporophila bouvreuil,SA,PASSERIFORMES,Thraupidae,зерноїд строкатоволий
10336,Sporophila nigrorufa,SA,PASSERIFORMES,Thraupidae,зерноїд чорноспинний
10337,Sporophila hypoxantha,SA,PASSERIFORMES,Thraupidae,зерноїд іржастий
10338,Sporophila ruficollis,SA,PASSERIFORMES,Thraupidae,зерноїд чорноволий
10339,Sporophila iberaensis,SA,PASSERIFORMES,Thraupidae,Ibera Seedeater
10340,Sporophila pileata,SA,PASSERIFORMES,Thraupidae,зерноїд савановий
10341,Sporophila hypochroma,SA,PASSERIFORMES,Thraupidae,зерноїд болівійський
10342,Sporophila cinnamomea,SA,PASSERIFORMES,Thraupidae,зерноїд каштановий
10343,Sporophila palustris,SA,PASSERIFORMES,Thraupidae,зерноїд болотяний
10344,Sporophila melanogaster,SA,PASSERIFORMES,Thraupidae,зерноїд чорночеревий
10345,Piezorina cinerea,SA,PASSERIFORMES,Thraupidae,інкавець сірий
10346,Xenospingus concolor,SA,PASSERIFORMES,Thraupidae,інкавець тонкодзьобий
10347,Cnemoscopus rubrirostris,SA,PASSERIFORMES,Thraupidae,каптурник сіроголовий
10348,Pseudospingus verticalis,SA,PASSERIFORMES,Thraupidae,зеленяр чорноголовий
10349,Pseudospingus xanthophthalmus,SA,PASSERIFORMES,Thraupidae,зеленяр сивий
10350,Poospiza boliviana,SA,PASSERIFORMES,Thraupidae,свертушка болівійська
10351,Poospiza ornata,SA,PASSERIFORMES,Thraupidae,свертушка білокрила
10352,Poospiza nigrorufa,SA,PASSERIFORMES,Thraupidae,свертушка біловуса
10353,Poospiza whitii,SA,PASSERIFORMES,Thraupidae,свертушка магонієва
10354,Poospiza hispaniolensis,SA,PASSERIFORMES,Thraupidae,свертушка маскова
10355,Poospiza rubecula,SA,PASSERIFORMES,Thraupidae,свертушка чорнощока
10356,Poospiza baeri,SA,PASSERIFORMES,Thraupidae,свертушка аргентинська
10357,Poospiza garleppi,SA,PASSERIFORMES,Thraupidae,свертушка гірська
10358,Poospiza goeringi,SA,PASSERIFORMES,Thraupidae,зеленяр венесуельський
10359,Poospiza rufosuperciliaris,SA,PASSERIFORMES,Thraupidae,зеленяр рудобровий
10360,Kleinothraupis reyi,SA,PASSERIFORMES,Thraupidae,зеленяр сіроголовий
10361,Kleinothraupis atropileus,SA,PASSERIFORMES,Thraupidae,зеленяр білобровий
10362,Kleinothraupis auricularis,SA,PASSERIFORMES,Thraupidae,зеленяр широкобровий
10363,Kleinothraupis calophrys,SA,PASSERIFORMES,Thraupidae,зеленяр золотобровий
10364,Kleinothraupis parodii,SA,PASSERIFORMES,Thraupidae,зеленяр перуанський
10365,Sphenopsis frontalis,SA,PASSERIFORMES,Thraupidae,зеленяр оливковий
10366,Sphenopsis melanotis,SA,PASSERIFORMES,Thraupidae,зеленяр чорнощокий
10367,Sphenopsis ochracea,SA,PASSERIFORMES,Thraupidae,зеленяр західний
10368,Sphenopsis piurae,SA,PASSERIFORMES,Thraupidae,зеленяр піурійський
