,IOC,Breeding Range,Order,Family,Slovak
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,perlička supia
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,kurôpka skalná
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,kurôpka lesná
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,prepelka bledočelá
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,prepelka dlhochvostá
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,prepelka bradatá
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,prepelka pestrá
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,prepelka šupinatá
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,prepelka ozdobná
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,prepelka korunkatá
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,prepelka čelenková
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,prepelka pruhovaná
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,prepelka hnedá
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,prepelka čiernohrdlá
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,prepelka škvrnitobruchá
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,prepelka chochlatá
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,prepelka mramorovaná
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,prepelka sivobruchá
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,prepelka čiernosluchá
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,prepelka hrdzavočelá
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,prepelka čiernočelá
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,prepelka gaštanová
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,prepelka tmavochrbtá
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,prepelka hrdzavoprsá
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,prepelka panamská
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,prepelka goliernatá
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,prepelka škvrnitoprsá
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,prepelka bielohrdlá
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,prepelka horská
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,prepelka hviezdičkatá
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,prepelka fŕkaná
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,prepelka spevavá
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,prepelka kráľovská
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,prepelka očkatá
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,prepelka okrovolíca
329,Xenoperdix udzungwensis,AF,GALLIFORMES,Phasianidae,kurička tanzánijská
330,Xenoperdix obscuratus,AF,GALLIFORMES,Phasianidae,kurička čiernočelá
331,Caloperdix oculeus,OR,GALLIFORMES,Phasianidae,kurička lesná
332,Rollulus rouloul,OR,GALLIFORMES,Phasianidae,rulrul korunkatý
333,Melanoperdix niger,OR,GALLIFORMES,Phasianidae,kurička čierna
