,IOC,Breeding Range,Order,Family,Polish
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,nurogęś
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,szlachar
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,tracz chiński
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,pasożytka
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,sterniczka maskowa
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,sterniczka jamajska
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,sterniczka peruwiańska
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,sterniczka argentyńska
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,sterniczka australijska
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,sterniczka afrykańska
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,sterniczka (zwyczajna)
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,bisiorka
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,nogal brunatny
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,nogal koralikowy
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,nogal trójsoplowy
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,nogal czerwonodzioby
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,nogal czarnodzioby
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,nogal brązowodzioby
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,nogal prążkowany
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,nogal hełmiasty
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,nogal molucki
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,nogal polinezyjski
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,nogal mikronezyjski
