,IOC,Breeding Range,Order,Family,French
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,Mégapode des Nicobar
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,Mégapode des Philippines
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,Mégapode de Bernstein
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,Mégapode des Tanimbar
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,Mégapode de Freycinet
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,Mégapode de Geelvink
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,Mégapode mélanésien
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,Mégapode de Layard
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,Mégapode de Nouvelle-Guinée
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,Mégapode de Reinwardt
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,Ortalide chacamel
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,Ortalide à tête grise
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,Ortalide babillarde
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,Ortalide à ventre roux
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,Ortalide à tête rousse
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,Ortalide à ventre marron
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,Ortalide de Wagler
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,Ortalide du chaco
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,Ortalide à ventre blanc
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,Ortalide maillée
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,Ortalide araucuan
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,Ortalide écaillée
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,Ortalide de Colombie
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,Ortalide motmot
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Petite Ortalide
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,Ortalide à sourcils
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,Pénélope à queue barrée
247,Penelope barbata,SA,GALLIFORMES,Cracidae,Pénélope barbue
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,Pénélope d’Orton
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,Pénélope des Andes
250,Penelope marail,SA,GALLIFORMES,Cracidae,Pénélope marail
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,Pénélope péoa
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,Pénélope de Dabbene
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,Pénélope panachée
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,Pénélope de Cauca
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,Pénélope à ailes blanches
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,Pénélope de Spix
257,Penelope obscura,SA,GALLIFORMES,Cracidae,Pénélope yacouhou
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Pénélope des yungas
259,Penelope pileata,SA,GALLIFORMES,Cracidae,Pénélope à poitrine rousse
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,Pénélope à ventre roux
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,Pénélope à front blanc
262,Pipile pipile,SA,GALLIFORMES,Cracidae,Pénélope siffleuse
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,Pénélope à gorge bleue
264,Pipile grayi,SA,GALLIFORMES,Cracidae,Pénélope de Gray
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,Pénélope cujubi
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,Pénélope à front noir
267,Aburria aburri,SA,GALLIFORMES,Cracidae,Pénélope aburri
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,Pénélope unicolore
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,Pénélope de Goudot
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,Pénélope pajuil
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,Oréophase cornu
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,Hocco nocturne
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,Hocco de Spix
274,Mitu salvini,SA,GALLIFORMES,Cracidae,Hocco de Salvin
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,Hocco tuberculé
276,Mitu mitu,SA,GALLIFORMES,Cracidae,Hocco mitou
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,Hocco à pierre
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,Hocco unicorne
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,Hocco de Koepcke
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,Grand Hocco
281,Crax alberti,SA,GALLIFORMES,Cracidae,Hocco d’Albert
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,Hocco de Daubenton
283,Crax alector,SA,GALLIFORMES,Cracidae,Hocco alector
284,Crax globulosa,SA,GALLIFORMES,Cracidae,Hocco globuleux
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,Hocco à face nue
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,Hocco de Blumenbach
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,Pintade à poitrine blanche
